AA00001,"データを読み込んでから実施してください。"
AA00049,"構成単位数の分母、分子の値が不正です。"
AA00050,"比例分ロットサイズに0より大きい数値を指定してください。"
AA00051,"同一品目番号は追加できません。"
AA00052,"この構成は手配区分に矛盾があります。"
AA00054,"有効日が重複しています。"
AA00055,"構成情報に矛盾があります。"
AA00056,"作業系列番号に整数を指定してください。"
AA00057,"作業系列固定分リードタイムに０以上の整数を指定してください。"
AA00058,"作業系列比例分リードタイムに０以上の整数を指定してください。"
AA00059,"安全日数に０以上の整数を指定してください。"
AA00060,"作業系列比例分ロットサイズに1以上の数値を指定してください。"
AA00061,"作業系列仕損率に０以上の数値を指定してください。"
AA00062,"標準工数に0以上の数値を指定してください。"
AA00063,"比例分ロットサイズに0以下は指定できません。"
AA00064,"作業系列番号に0以下の値は指定できません。"
AA00065,"作業系列番号が重複しています。"
AA00067,"キーを変更して追加/更新はできません。"
AA00068,"単価に０以上の数値を指定してください。"
AA00069,"加工費に０以上の数値を指定してください。"
AA00070,"材料費に０以上の数値を指定してください。"
AA00071,"その他経費に０以上の数値を指定してください。"
AA00072,"作業実績が存在するので削除できません。"
AA00073,"受入実績が存在するので削除できません。"
AA00074,"検査実績が存在するので削除できません。"
AA00075,"保管区別品目在庫が存在するので削除できません。"
AA00076,"保管区別製番在庫が存在するので削除できません。"
AA00077,"保管区別入出庫が存在するので削除できません。"
AA00078,"出来高実績が存在するので削除できません。"
AA00079,"優先順位番号に1以上の整数を指定してください。"
AA00080,"優先順位番号が重複しているデータがあります。"
AA00081,"自作業区に代替作業区は設定できません。"
AA00082,"代替作業区として設定されているので削除できません。"
AA00083,"作業系列に指定があるため削除できません。"
AA00084,"品目別仕掛に指定があるため削除できません。"
AA00085,"作業系列別仕掛に指定があるため削除できません。"
AA00086,"作業実績の実績作業区コードに指定があるため削除できません。"
AA00087,"保管区に指定があるため削除できません。"
AA00088,"出来高実績の実績作業区コードに指定があるため削除できません。"
AA00089,"取引先名称が未入力です。"
AA00090,"取引先略称が未入力です。"
AA00091,"取引先住所が未入力です。"
AA00092,"FAX番号が未入力です。"
AA00093,"メールアドレスが未入力です。"
AA00094,"作業系列の取引先に指定があるため削除できません。"
AA00095,"保管区の取引先に指定があるため削除できません。"
AA00096,"購入単価ヘッダの取引先に指定があるため削除できません。"
AA00097,"外注単価ヘッダの取引先に指定があるため削除できません。"
AA00098,"作業系列別仕掛の取引先に指定があるため削除できません。"
AA00099,"発注残の取引先に指定があるため削除できません。"
AA00100,"カレンダ番号に0以上の整数を指定してください。"
AA00101,"コピー元の年が不正です。"
AA00102,"コピー先の年が不正です。"
AA00103,"払出リードタイムに整数を指定してください。"
AA00104,"初期展開レベルが最大値を超えています。"
AA00105,"荷姿単位数量に0は指定できません。"
AA00106,"郵便番号の形式が不正です。"
AA00107,"電話番号の形式が不正です。"
AA00108,"FAX番号の形式が不正です。"
AA00109,"メールアドレスの形式が不正です。"
AA00110,"利用者名が未入力です。"
AA00111,"パスワードが未入力です。"
AA00112,"新消費税開始日が未入力もしくは不正な日付です。"
AA00113,"消費税コードが不正です。下1桁には0,1,5,9を指定してください。"
AA00114,"品目マスタに指定されているので削除できません。"
AA00115,"取引先マスタに指定されているので削除できません。"
AA00116,"受け入れ実績があるので削除できません。"
AA00117,"発注残があるので削除できません。"
AA00118,"旧税率1に0以上の数値を指定してください。"
AA00119,"旧税率2に0以上の数値を指定してください。"
AA00120,"旧税率3に0以上の数値を指定してください。"
AA00121,"新税率1に0以上の数値を指定してください。"
AA00122,"新税率2に0以上の数値を指定してください。"
AA00123,"新税率3に0以上の数値を指定してください。"
AA00124,"作業区マスタに指定されているので削除できません。"
AA00125,"工場マスタに設定があるので削除できません。"
AA00126,"このカレンダ番号は削除できません。"
AA00127,"コピー元カレンダ番号に0以上の数値を指定してください。"
AA00128,"コピー先カレンダ番号に0以上の数値を指定してください。"
AA00129,"コピー元カレンダのカレンダ情報は存在しません。"
AA00130,"カレンダ番号に0以上の整数を入力してください"
AA00131,"日付(from)に日付を入力してください。"
AA00132,"日付(to)に日付を入力してください。"
AA00133,"日付の大小関係が不正です。"
AA00134,"データが作成されています。最新の情報を確認してください。"
AA00135,"作成済み期間の範囲内の日付を指定してください。"
AA00136,"削除されているデータがあります。最新の情報を確認してください。"
AA00137,"MM/DDの日付形式で入力してください。"
AA00138,"該当の品目手配区分のとき 指定した作業実績区分は指定できません。"
AA00139,"構成品目の行が選択されていません。"
AA00140,"消費税コードは3桁で指定してください。"
AA00141,"消費税コードは数字で指定してください。"
AA00142,"明細行を作成してから実行してください。"
AA00143,"コピー元の年の閏日が登録されているため実行できません。"
AA00144,"該当の構成はありません。"
AA00145,"レベルに整数を指定してください。"
AA00146,"レベルは{0}以内を指定してください。"
AA00147,"最小手配数は最大手配数より小さい値を指定してください。"
AA00148,"まるめ単位は最大手配数量より小さい値を指定してください。"
AA00149,"所要量計算対象の保管区を指定してください。"
AA00150,"所要量計算対象の保管区には倉庫か出庫倉庫を指定してください。"
AA00151,"所要量計算対象外の保管区は内作代表保管区に指定できません。"
AA00152,"所要量計算対象外の保管区は外作代表保管区に指定できません。"
AA00153,"内作の代表保管区は同一工場内で2件以上登録できません。"
AA00154,"外作の代表保管区は同一工場内で2件以上登録できません。"
AA00155,"取引先保管区は内作の代表保管区・外作の代表保管区にできません。"
AA00156,"作業区の保管区には工程保管場所を指定してください。"
AA00157,"取引先マスタで消費税コードを適用する場合、消費税コードは省略できません。"
AA00158,"担当者コードが利用者マスタに登録されていません。"
AA00159,"品目マスタに設定があるので削除できません。"
AA00160,"出庫指示に設定されている保管区コードの取引先コードは変更できません。"
AA00161,"保管先優先順位マスタの品目別入庫先保管区が存在するので削除できません。"
AA00162,"ＭＰＳロックが存在するので削除できません。"
AA00163,"出庫指示が存在するので削除できません。"
AA00164,"品目別仕掛が存在するので削除できません。"
AA00165,"製番引当が存在するので削除できません。"
AA00166,"積送在庫が存在するので削除できません。"
AA00167,"購入品マスタが存在するので削除できません。"
AA00168,"品目別加工費が存在するので削除できません。"
AA00169,"品目別加工費マスタが存在するので削除できません。"
AA00170,"品目別原価が存在するので削除できません。"
AA00171,"保管区別品目棚卸が存在するので削除できません。"
AA00172,"発注残が存在するので削除できません。"
AA00173,"製品マスタが存在するので削除できません。"
AA00174,"製品単価マスタが存在するので削除できません。"
AA00998,"品目別入庫先保管区が存在するので削除できません。"
AA00999,"有償支給履歴が存在するので削除できません。"
AA01000,"購入返品実績が存在するので削除できません。"
AA01001,"指定した消費税コードは未登録です。"
AA01002,"指定した品目番号は未登録です。"
AA01003,"指定した作業区コードは未登録です。"
AA01004,"指定した取引先コードは未登録です。"
AA01005,"他工場の作業区コードは指定できません。"
AA01006,"作業系列データが未登録です。"
AA01007,"他工場の保管区コードは指定できません。"
AA01008,"他保管区で指定している取引先は指定できません。"
AA01009,"指定した保管区コードは未登録です。"
AA01010,"指定した代替作業区の作業区コードは未登録です。"
AA01011,"他工場の作業区コードは代替作業区に指定できません。"
AA01012,"指定した工場コードは未登録です。"
AA01013,"指定したカレンダ番号は未登録です。"
AA01014,"コピー元カレンダがカレンダヘッダに未登録です。"
AA01015,"コピー先カレンダがカレンダヘッダに未登録です。"
AA01016,"該当のカレンダは削除されています。"
AA01017,"指定したユーザコードは得意先マスタの自社担当者コードに設定されています。"
AA01500,"項目が{0}個あります。項目数が不足しています。"
AA01501,"桁数以内で設定してください。"
AA01502,"整数を設定してください。"
AA01503,"数値を設定してください。"
AA01504,"コンボボックスデータに存在する数値を指定してください。"
AA01505,"品目番号が設定してありません。"
AA01506,"登録時、保管区コードが設定してありません。"
AA01507,"荷姿単位数が在庫数単位区分に矛盾しています。"
AA01508,"安全在庫数量が在庫数単位区分に矛盾しています。"
AA01509,"最大手配数が在庫数単位区分に矛盾しています。"
AA01510,"発注点在庫数が在庫数単位区分に矛盾しています。"
AA01511,"定量発注数が在庫数単位区分に矛盾しています。"
AA01512,"最小手配数が在庫数単位区分に矛盾しています。"
AA01513,"まるめ単位が在庫数単位区分に矛盾しています。"
AA01514,"正常に取り込みました。（正常 {0}件）"
AA01515,"取り込みましたが、ワーニングがあります。（正常 {0}件、ワーニング {1}件）"
AA01517,"チェック処理を実行しました。（正常 {0}件、ワーニング {1}件、エラー {2}件）"
AA01518,"カレンダ番号が設定してありません。"
AA01519,"項目が{0}個あります。項目が多すぎます。"
AA01520,"{0}件目"
AA01521,"出力先ディレクトリの取得に失敗しました。"
AA01522,"出力先ディレクトリの作成に失敗しました。"
AA01523,"作業系列情報との間に矛盾があります。"
AA01524,"禁則文字（「%」、「_」、「￥」(半角)）が含まれています。"
AA01525,"計量単位が未入力です。"
AA01602,"子品目番号が設定してありません。"
AA01603,"製品構成版数が設定してありません。"
AA01604,"製品構成有効開始日が設定してありません。"
AA01605,"製品構成有効終了日が設定してありません。"
AA01606,"日付を設定してください。"
AA01607,"エラーデータがあるため取り込みませんでした。（正常 {0}件、エラー {1}件）"
AA01608,"チェック処理を実行しました。（正常 {0}件、エラー {1}件）"
AA02001,"品目番号が未入力です。"
AA02002,"構成品目番号が未入力です。"
AA02003,"品目別作業コードが未入力です。"
AA02004,"取引先コードが未入力です。"
AA02005,"作業区コードが未入力です。"
AA02006,"保管区コードが未入力です。"
AA02007,"工場コードが未入力です。"
AA02008,"利用者コードが未入力です。"
AA02009,"年が未入力です。"
AA02010,"消費税コードが未入力です。"
AA10001,"通貨コードが未入力です。"
AA10002,"通貨単位が未入力です。"
AA10003,"小数桁数には整数を入力してください。"
AA10004,"小数桁数の値が不正です。"
AA10005,"小数桁数には、4以下の整数を入力してください。"
AA10006,"この通貨コードは邦貨（邦貨コード）に使用されているため削除できません。"
AA10007,"この通貨コードは取引先（取引通貨コード）に使用されているため削除できません。"
AA10008,"この通貨コードは為替レート（通貨コード）に使用されているため削除できません。"
AA10011,"通貨コードが通貨に存在しません。"
AA10012,"為替予約コードが未入力です。"
AA10013,"為替開始日付が未入力です。"
AA10014,"為替開始日付をYYYY/MM/DDの日付形式で入力してください。"
AA10015,"為替レートには数値を入力してください。"
AA10016,"為替レートには、0より大きい数値を入力してください。"
AA20001,"初期展開レベルは最大展開レベル（{0}）以内を指定してください。"
AA20012,"置換先品目番号は既に製品構成マスタに存在します。"
AA20015,"最大読込み行数（{0}行）を超えたため、{0}行まで表示します。"
AA20016,"初期展開レベルは0以上を設定してください。"
AA20017,"最大展開レベルは0以上を設定してください。"
AA20018,"最大展開レベル（{0}）を超えて展開することはできません。"
AA20055,"指定されたパターンコードが存在しません。"
AA20056,"指定キーのデータは存在しません。"
AA20058,"パターンマスタ情報を登録しました。"
AA20059,"パターンマスタ情報を更新しました。"
AA20060,"パターンマスタ情報を削除しました。"
AA60001,"作業系列情報との間に矛盾があるデータでしたが登録しました。"
AA60002,"整数管理品目のため比例分ロットサイズの小数点以下は切り上げして登録しました。"
AA60003,"「品目リードタイム」との関係に矛盾がありましたが登録しました。"
AA60004,"指定した保管区は取引先の保管区でしたが登録しました。"
AA60005,"取引先の保管区の指定がありましたが登録しました。"
AA60006,"コピー先の年に設定済みの情報は削除しました。"
AA60007,"コピー元の年に休日の情報が存在しないため処理を行いません。"
AA60008,"保管区優先順位に登録がありますが、取引先を設定して登録しました。"
AA60009,"コピー先のカレンダ情報はコピー元のカレンダ情報に置き換えました。"
AA60010,"所要量計算対象外の保管区で出庫元保管先優先順位に設定済ですが登録しました。"
AA60011,"所要量計算対象外で入庫先保管区に設定済ですが登録しました。"
AA60012,"工程保管場所以外で作業区の保管区として設定済ですが登録しました。"
AA60013,"工場の内作代表保管区が未設定になりました。"
AA60014,"工場の外作代表保管区が未設定になりました。"
AA90001,"整数管理品目のため小数点以下は切り上げされます。よろしいですか？"
AA90002,"取引先コードが入力されていません。よろしいですか？"
AA90003,"作業区コードが入力されていません。よろしいですか？"
AA90004,"加工費＋材料費＋その他経費が単価を超えています。よろしいですか？"
AA90005,"取引先優先順位、取引先品目番号の変更が破棄されますがよろしいですか?"
AA90006,"取引先品目番号の変更が破棄されますがよろしいですか?"
AA90007,"所属部門が選択されていません。よろしいですか?"
AA90008,"指定した構成品目と直接の親品目の構成を全て削除します。よろしいですか ? "
AA90009,"指定した品目と直接の構成品目の構成を全て削除します。よろしいですか ?"
AA99991,"  {0}[{1}]"
AA99992,"  {0}[{1}] {2}[{3}]"
AA99993,"  {0}[{1}] {2}[{3}] {4}[{5}]"
AA99994,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}]"
AA99995,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}] {8}[{9}]"
AA99999,"{0}"
AB00001,"工場コードが未入力です。"
AB00002,"品目番号が未入力です。"
AB00003,"生産計画期間(from)が未入力です。"
AB00004,"生産計画期間(to)が未入力です。"
AB00005,"日付の大小関係が不正です。"
AB00006,"生産計画期間(from)の日付が不正です。"
AB00007,"生産計画期間(to)の日付が不正です。"
AB00009,"この品目は生産計画立案品目ではありません。"
AB00010,"マニュアル手配品目またはロット手配品目以外の品目です。"
AB00011,"カレンダ明細データが存在しません。"
AB00012,"日付が業務運用日より過去です。"
AB00013,"オーダ数量に数値を入力してください。"
AB00014,"生産計画期間(from)に指定できる日付より過去です。"
AB00015,"生産計画期間(to)に指定できる日付より未来です。"
AB00016,"指定した品目の品目手配区分では本画面での計画立案はできません。"
AB00017,"製番が未入力です。"
AB00018,"納期が未入力もしくは不正な日付です。"
AB00019,"手配数量に数値を入力してください。"
AB00020,"納期には生産計画期間で指定した範囲の日付を指定してください。"
AB00021,"非稼働日のため登録できません。"
AB00022,"整数管理品目のため小数点以下は切り上げされます。よろしいですか？"
AB00023,"製番の採番に失敗しました。"
AB00024,"指定した製番は自動採番の形式です。別の形式を指定してください。"
AB00025,"納期に過去は指定できません。"
AB00026,"業務運用日データが存在しません。"
AB00027,"受注伝票種類に整数を入力してください。"
AB00028,"受注伝票行に数値を入力してください。"
AB00029,"受注数量に数値を入力してください。"
AB00030,"受注紐付数に数値を入力してください。"
AB00031,"受注伝票日付が未入力もしくは不正な日付です。"
AB00032,"会社コードが未入力です。"
AB00033,"受注伝票管理グループが未入力です。"
AB00034,"受注伝票番号が未入力です。"
AB00035,"表示可能な期間を超えています。期間を短くして実施してください。"
AB00036,"オーダ数量に0より大きい数値を指定してください。"
AB00037,"手配数量に0より大きい数値を指定してください。"
AB00038,"受注伝票種類に0より大きい整数を指定してください。"
AB00039,"受注伝票行に0より大きい整数を指定してください。"
AB00040,"受注数量に0より大きい数値を指定してください。"
AB00041,"受注紐付数に0より大きい数値を指定してください。"
AB00042,"受注紐付数が製番の手配数を超えています。"
AB00043,"指定の製番が存在しません。"
AB00044,"リードタイム計算結果がカレンダ範囲外になるデータがあります。"
AB00045,"オーダデマンド番号採番に失敗しました。"
AB00046,"所要量メンテナンスフラグの設定に失敗しました。"
AB00047,"受注紐付数量が製番の手配数を超えています。"
AB00048,"業務運用日より過去の日付（緑文字）は、旧計画オーダのみ表示しています。"
AB00049,"生産計画(MRP)が最大表示期間({0}月)を超えています。"
AB00050,"生産計画(製番)が最大表示期間({0}月)を超えています。"
AB01001,"工場が存在しません。"
AB01002,"品目が存在しません。"
AB60001,"整数管理品目のため小数点以下を切り上げて登録しました。"
AB90001,"整数管理品目のため小数点以下は切り上げされます。よろしいですか？"
AB90002,"まるめ単位の倍数ではない計画値があります。このまま登録しますか?"
AB99991,"  {0}[{1}]"
AB99992,"  {0}[{1}] {2}[{3}]"
AB99993,"  {0}[{1}] {2}[{3}] {4}[{5}]"
AB99994,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}]"
AB99995,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}] {8}[{9}]"
AB99999,"{0}"
AC00001,"初期処理を開始しました。"
AC00002,"初期処理を終了しました。"
AC00003,"所要量ﾒﾝﾃからの所要量計算処理を開始しました。"
AC00004,"所要量ﾒﾝﾃからの所要量計算処理を終了しました。"
AC00005,"製番計画からの所要量計算処理を開始しました。"
AC00006,"製番計画からの所要量計算処理を終了しました。"
AC00007,"MRPﾀｲﾌﾟの所要量計算処理を開始しました。"
AC00008,"MRPﾀｲﾌﾟの所要量計算処理を終了しました。"
AC00009,"削除が指定されている為、項目の変更を行うことはできません。"
AC00010,"この製番は、所要量計算を実行していないか、確定済みのためメンテナンスできません。"
AC00011,"他工場の製番は入力できません。"
AC00012,"製造着手日に休日は入力できません。"
AC00013,"製造納期に休日は入力できません。"
AC00014,"手配着手日に休日は入力できません。"
AC00015,"手配数が0に設定されています。よろしいですか？"
AC00016,"日付が業務運用日より過去となります。よろしいですか？"
AC00017,"他の処理によりデータが書き換えられています。再読込を行ってください。"
AC00018,"手配数が要求数を下回っています。よろしいですか？"
AC00019,"要求納期が製造納期より過去に設定されています。よろしいですか？"
AC00020,"製造納期が製造着手日より過去に設定されています。"
AC00021,"製造着手日が手配着手日より過去に設定されています。"
AC00022,"要求数から自動算出した手配数と異なる内容で登録／更新しました。"
AC00023,"上位品目に同一品目が存在するため追加は行えません。"
AC00024,"親品目が擬似品目となる場合、子品目に擬似品目の構成追加は行えません。"
AC00025,"処理対象となった品目の作業系列マスタはオーダ発効前までに登録してください。"
AC00026,"処理対象となった品目の購入単価マスタはオーダ発効前にまでに登録してください。"
AC00027,"要求数から自動算出した手配数と異なります。再確認してください。"
AC00028,"品目番号（{0｝）の所要が再所要量計算の対象になっています。再確認してください。"
AC00029,"親品目の所要データが存在しません。"
AC00030,"この製番情報は生産計画メンテナンスの修正にて所要量計算の対象になっています。"
AC00031,"品目マスタの基準情報から自動算出した日程と異なる内容で登録／更新しました。"
AC00101,"自社データが存在しません。"
AC00102,"工場データが存在しません。"
AC00103,"作業系列情報が存在しません。（代表作業区が未取得）"
AC00104,"購入単価データが存在しません。（代表取引先が未取得）"
AC00105,"共通の入力パラメータが誤っています。"
AC00106,"固有の入力パラメータが誤っています。"
AC00107,"所要量計算実行中です。"
AC00108,"オーダ発効を行うには、所要量計算を実行する必要があります。"
AC00109,"バッチパラメータデータが存在しません。"
AC00110,"オーダ発効実行制御データが存在しません。"
AC00111,"バッチ処理引数の形式が不正です。"
AC00112,"桁数が不正です。"
AC00113,"バッチパラメータの読み込みに失敗しました。"
AC00114,"オーダ発効実行制御の読み込みに失敗しました。"
AC00115,"日付制御の読み込みに失敗しました。"
AC00116,"登録されているエントリ日付の形式が不正です。"
AC00117,"ストアドプロシージャ実行時エラー。"
AC00118,"工場の代表納入場所コードは省略できません。"
AC00119,"エントリ日付をYYYY/MM/DDの日付形式で入力してください。"
AC00200,"エントリ日付には業務運用日より過去日は指定できません。"
AC00201,"製番の桁数が不正です。"
AC00202,"工場コードの桁数が不正です。"
AC00204,"製番、製番取消発生番号が製番計画に存在しません。"
AC00205,"製番引当メンテナンスを行うには、所要量計算を実行する必要があります。"
AC00206,"所要量計算実行中のためメンテナンスできません。"
AC00207,"工場コードと製番の工場コードが一致しません。"
AC00208,"製番と引当グループコードが一致しません。"
AC00210,"引当元製番は論理削除されています。"
AC00211,"製番管理品目以外は指定できません。"
AC00212,"引当要求（デマンド）が存在しません。"
AC00213,"指定された所要量は論理削除されているためメンテナンスできません。"
AC00214,"指定された引当先製番は既に出庫されているため削除できません。"
AC00215,"引当済み数が引当可能数を超えています。"
AC00216,"引当済み数に０は指定できません。引当削除で行ってください。"
AC00217,"整数管理品目のため、引当済み数の小数点以下は切り上げました。"
AC00218,"引当先製番の製造納期は引当元製番の要求納期を越えていました。"
AC00219,"出庫済み数を下回る引当済み数は入力できません。"
AC00220,"品目番号が存在しません。"
AC00221,"製番引当一覧の表示件数が既定値({0})を超えています。"
AC00222,"引当可能一覧の表示件数が既定値({0})を超えています。"
AC00223,"引当元製番と引当先製番の引当グループコードが一致しませんでした。"
AC00224,"手配数に0以上の数値を指定してください。"
AC00999,"SQL実行時エラー。"
AC10001,"工場コードが存在しません。"
AC10002,"品目番号が存在しません。"
AC10003,"生産計画期間(from)の日付が不正です。"
AC10004,"生産計画期間(to)の日付が不正です。"
AC10005,"カレンダ明細データが存在しません。"
AC10006,"日付が業務運用日より過去です。"
AC10007,"日付の大小関係が不正です。"
AC10008,"表示可能な期間を超えています。期間を短くして実施してください。"
AC10009,"所要量計算指示中です。"
AC10010,"納期が入力されていません。"
AC10011,"納期の日付が不正です。"
AC10012,"外部オーダ数量は省略できません。"
AC10013,"外部オーダ数量には数値を指定してください。"
AC10014,"外部オーダ数量には0以下の値は入力できません。"
AC10015,"外部デマンド数量は省略できません。"
AC10016,"外部デマンド数量には数値を指定してください。"
AC10017,"外部デマンド数量には0以下の値は入力できません。"
AC10018,"明細が表示されていないためこの操作はできません。"
AC10019,"外部計画番号が存在しません。"
AC10020,"日付がデマンド要求納期より過去です。"
AC10021,"外部オーダからの総所要量展開を開始しました。"
AC10022,"外部オーダからの総所要量展開を終了しました。"
AC10023,"未紐付けの外部デマンド以外はこの操作を実行できません。"
AC10024,"下位部品がリリースされているため更新できません。"
AC10025,"マニュアル手配品目またはロット手配品目以外の品目です。"
AC10026,"業務運用日データが存在しません。"
AC10027,"オーダデマンド番号採番に失敗しました。"
AC10028,"外部計画番号採番に失敗しました。"
AC10029,"所要量メンテナンスフラグの設定に失敗しました。"
AC10030,"リードタイム計算に失敗しました。"
AC10031,"指定された外部デマンドは紐付けされていません。"
AC10032,"指定された外部デマンドは既に紐付けされています。"
AC10033,"該当する製品構成が存在しません。"
AC10034,"バッチ処理引数の形式が不正です。"
AC10035,"所要量メンテナンスフラグの設定に失敗しました。"
AC10036,"非稼働日のため登録できません。"
AC10037,"オーダまたは紐付け済みのデマンドは削除できません。"
AC10038,"納期には生産計画期間で指定した範囲の日付を指定してください。"
AC20001,"所要量計算対象の保管区が存在しません。"
AC30772,"日付の大小関係が不正です。"
AC30773,"日付が業務運用日より未来です。"
AC50031,"発注番号が未入力です。"
AC50040,"作業計画番号が未入力です。"
AC50261,"受入完了日が未入力です。"
AC50304,"仕掛完了日が未入力です。"
AC50416,"比例分ロットサイズが未入力です。"
AC50417,"製品構成比例分ロットサイズが未入力です。"
AC50502,"カレンダ明細データが存在しません。"
AC50509,"品目データが存在しません。"
AC50515,"購入単価データが存在しません。"
AC50520,"取引先データが存在しません。"
AC50537,"日付制御データが存在しません。"
AC50552,"所要量計算制御データが存在しません。"
AC50553,"オーダデマンド番号採番データが存在しません。"
AC50555,"作業指示番号採番データが存在しません。"
AC50557,"発注番号採番データが存在しません。"
AC50560,"作業計画番号採番データが存在しません。"
AC50700,"対象データが存在しません。"
AC50771,"日付の値が不正です。"
AC50774,"日付が業務運用日より過去です。"
AC50802,"既に他者によって更新されています。"
AC50804,"バッチ処理を開始しました。"
AC50805,"バッチ処理を終了しました。"
AC53401,"Ｏｒａｃｌｅ　Ｅｒｒｏｒ。"
AC53402,"エラーが発生しました。詳細はトレースログを参照してください。"
AC60001,""
AC60002,""
AC60003,""
AC90001,"外部オーダ数量が最小手配数量よりも少ないです。更新してよろしいですか？"
AC90002,"外部オーダ数量が最大手配数量よりも多いです。更新してよろしいですか？"
AC90003,"外部オーダ数量がまるめ単位の倍数になっていません。登録してよろしいですか？"
AC90004,"外部デマンド数量が最小手配数量よりも少ないです。更新してよろしいですか？"
AC90005,"外部デマンド数量が最大手配数量よりも多いです。更新してよろしいですか？"
AC90006,"外部デマンド数量がまるめ単位の倍数になっていません。登録してよろしいですか？"
AC90007,"オーダ数量が外部デマンド数量よりも少ないです。登録してよろしいですか？"
AC90008,"オーダ数量が外部デマンド数量よりも多いです。登録してよろしいですか？"
AC90009,"整数管理品目のため小数点以下は切り上げされます。よろしいですか？"
AC90010,"上位オーダとの紐付けを解除します。よろしいですか？"
AC99991,"  {0}[{1}]"
AC99992,"  {0}[{1}] {2}[{3}]"
AC99993,"  {0}[{1}] {2}[{3}] {4}[{5}]"
AC99994,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}]"
AC99995,"  {0}[{1}] {2}[{3}] {4}[{5}] {6}[{7}] {8}[{9}]"
AC99999,"{0}"
AD00001,"作業計画番号は自動採番されるため入力できません。"
AD00002,"作業実績収集区分が２：作業指示実績の場合、作業区コードは入力できません。"
AD00003,"作業実績収集区分が2：作業指示実績の場合、作業指示番号は入力できません。"
AD00004,"他工場の作業区は入力できません。"
AD00005,"登録時は内作以外入力できません。"
AD00006,"他工場の作業計画は入力できません。"
AD00007,"生産計画の手配数と不一致になった可能性があります。"
AD00008,"上位品目からの要求数と不一致になる可能性があります。よろしいですか？"
AD00009,"指定された工場は存在しません。"
AD00010,"業務運用日の取得に失敗しました。"
AD00011,"最初の内作工程に作業区コードが設定されていません。"
AD00012,"最初の内作工程に指定されている作業区情報の工場コードが一致しません。"
AD00013,"最初の内作工程に指定されている作業区情報に、保管区コードが設定されていません。"
AD00014,"最初の内作工程の作業区コードに対応する保管区の工場コードが一致しません。"
AD00015,"系列別納期が系列別着手日より過去に設定されています。"
AD00016,"他工場の製番は入力できません。"
AD00017,"同一オーダ発注計画が存在しない場合、計画オーダは削除されます。よろしいですか？"
AD00018,"最初の内作工程の作業区コードに対応する保管区が存在しません。"
AD00019,"指定された品目番号は存在しません。"
AD00020,"指定された保管区コードは存在しません。"
AD00021,"他工場の保管区は入力できません。"
AD00022,"他工場の出来高実績は入力できません。"
AD00023,"バッチ処理引数の形式が不正です。"
